C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A006,R079,00-00-00,05-27-11,08:59:09,DOOR,008981534,013855379
A006,R079,00-00-00,05-27-11,08:59:24,OPEN,008981534,013855379
A006,R079,00-00-00,05-27-11,09:08:45,DOOR,008981534,013855379
A006,R079,00-00-00,05-27-11,10:00:00,OPEN,008981576,013855838
A006,R079,00-00-00,05-27-11,14:00:00,DOOR,008981907,013856920
A006,R079,00-00-00,05-27-11,18:00:00,OPEN,008982740,013857821
A006,R079,00-00-01,05-27-11,09:13:04,DOOR,000396782,000303087
A006,R079,00-00-01,05-27-11,09:20:47,OPEN,000396782,000303087
A006,R079,00-00-01,05-27-11,09:20:55,DOOR,000396782,000303087
A006,R079,00-00-01,05-27-11,10:00:00,OPEN,000396816,000303189
A006,R079,00-00-01,05-27-11,14:00:00,DOOR,000397186,000303558
A006,R079,00-00-01,05-27-11,18:00:00,OPEN,000398031,000303928
A006,R079,00-00-02,05-27-11,09:26:21,DOOR,004911752,002206709
A006,R079,00-00-02,05-27-11,09:26:43,OPEN,004911752,002206709
A006,R079,00-00-02,05-27-11,09:26:52,DOOR,004911752,002206709
A006,R079,00-00-02,05-27-11,09:29:47,OPEN,004911752,002206709
A006,R079,00-00-02,05-27-11,09:31:11,DOOR,004911752,002206709
A006,R079,00-00-02,05-27-11,10:00:00,OPEN,004911773,002206751
A006,R079,00-00-02,05-27-11,14:00:00,DOOR,004912118,002206929
A006,R079,00-00-02,05-27-11,18:00:00,OPEN,004912822,002207098                                      
A006,R079,00-00-03,05-27-11,09:37:06,DOOR,000035247,000015997
A006,R079,00-00-03,05-27-11,09:37:41,OPEN,000035247,000015997
A006,R079,00-00-03,05-27-11,09:42:39,DOOR,000035247,000015997
A006,R079,00-00-03,05-27-11,10:00:00,OPEN,000035256,000016005
A006,R079,00-00-03,05-27-11,14:00:00,DOOR,000035503,000016109
A006,R079,00-00-03,05-27-11,18:00:00,OPEN,000036075,000016228
A006,R079,00-00-04,05-27-11,09:50:43,DOOR,004782404,002227465
A006,R079,00-00-04,05-27-11,09:51:14,OPEN,004782404,002227465
A006,R079,00-00-04,05-27-11,10:00:00,DOOR,004782404,002227465
A006,R079,00-00-04,05-27-11,10:00:41,OPEN,004782404,002227465
A006,R079,00-00-04,05-27-11,18:00:00,DOOR,004783179,002227705
A006,R079,00-00-04,05-27-11,22:00:00,OPEN,004783471,002227739                                                                              
A006,R079,00-03-00,05-27-11,10:03:47,DOOR,005479771,002651167
A006,R079,00-03-00,05-27-11,10:04:15,OPEN,005479771,002651167
A006,R079,00-03-00,05-27-11,10:04:19,DOOR,005479771,002651167
A006,R079,00-03-00,05-27-11,10:11:18,OPEN,005479771,002651167
A006,R079,00-03-00,05-27-11,14:00:00,DOOR,005480076,002651338
A006,R079,00-03-00,05-27-11,18:00:00,OPEN,005480806,002651526
A006,R079,00-03-00,05-27-11,22:00:00,DOOR,005481128,002651563                                   
A006,R079,00-03-01,05-27-11,10:15:20,DOOR,004890826,002790157
A006,R079,00-03-01,05-27-11,10:16:09,OPEN,004890826,002790157
A006,R079,00-03-01,05-27-11,10:19:06,DOOR,004890826,002790157
A006,R079,00-03-01,05-27-11,10:22:41,OPEN,004890826,002790157
A006,R079,00-03-01,05-27-11,14:00:00,DOOR,004891232,002790394
A006,R079,00-03-01,05-27-11,18:00:00,OPEN,004892153,002790620
A006,R079,00-03-01,05-27-11,22:00:00,DOOR,004892592,002790690                                   
A006,R079,00-03-02,05-27-11,10:28:05,DOOR,009561906,010779339
A006,R079,00-03-02,05-27-11,10:28:29,OPEN,009561906,010779339
A006,R079,00-03-02,05-27-11,10:38:09,DOOR,009561906,010779339
A006,R079,00-03-02,05-27-11,14:00:00,OPEN,009562388,010779675
A006,R079,00-03-02,05-27-11,18:00:00,DOOR,009563606,010779886
A006,R079,00-03-02,05-27-11,22:00:00,OPEN,009564173,010780001                                                                              
A010,R080,00-00-00,05-21-11,04:00:00,RECOVR,002307861,000958255
A010,R080,00-00-00,05-21-11,08:00:00,AUD,002307920,000958312
A010,R080,00-00-00,05-22-11,04:00:00,RECOVR,002309647,000959255
A010,R080,00-00-00,05-22-11,08:00:00,AUD,002309688,000959300
A010,R080,00-00-00,05-23-11,04:00:00,RECOVR,002311114,000959999
A010,R080,00-00-00,05-23-11,07:48:44,AUD,002311190,000960129
A010,R080,00-00-00,05-24-11,04:00:00,RECOVR,002313622,000961388
A010,R080,00-00-00,05-24-11,08:00:00,AUD,002313698,000961530
A010,R080,00-00-00,05-27-11,04:00:00,RECOVR,002321462,000966021
A010,R080,00-00-00,05-27-11,08:00:00,AUD,002321548,000966168
A010,R080,00-00-01,05-21-11,04:00:00,RECOVR,010107098,003461343
A010,R080,00-00-01,05-21-11,08:00:00,AUD,010107125,003461377
A010,R080,00-00-01,05-22-11,04:00:00,RECOVR,010108277,003461907
A010,R080,00-00-01,05-22-11,08:00:00,AUD,010108306,003461934
A010,R080,00-00-01,05-23-11,04:00:00,RECOVR,010109188,003462315
A010,R080,00-00-01,05-23-11,07:48:44,AUD,010109211,003462389
A010,R080,00-00-01,05-24-11,04:00:00,RECOVR,010110727,003463197
A010,R080,00-00-01,05-24-11,08:00:00,AUD,010110770,003463278
A010,R080,00-00-01,05-27-11,04:00:00,RECOVR,010115804,003466017
A010,R080,00-00-01,05-27-11,08:00:00,AUD,010115836,003466096
A010,R080,00-00-02,05-21-11,04:00:00,RECOVR,007354340,002691905
A010,R080,00-00-02,05-21-11,08:00:00,AUD,007354360,002691939
A010,R080,00-00-02,05-23-11,04:00:00,RECOVR,007355869,002692531               
A010,R080,00-00-02,05-24-11,04:00:00,RECOVR,007357039,002693127               
A010,R080,00-00-02,05-25-11,04:00:00,RECOVR,007358283,002693764
A010,R080,00-00-02,05-25-11,08:00:00,AUD,007358311,002693844                   
A010,R080,00-00-02,05-26-11,04:00:00,RECOVR,007359572,002694406
A010,R080,00-00-02,05-26-11,08:00:00,AUD,007359599,002694480
A010,R080,00-00-02,05-27-11,04:00:00,RECOVR,007360957,002695128
A010,R080,00-00-02,05-27-11,08:00:00,AUD,007360982,002695195
A010,R080,00-00-03,05-21-11,04:00:00,RECOVR,000584211,000289942
A010,R080,00-00-03,05-21-11,08:00:00,AUD,000584223,000289964
A010,R080,00-00-03,05-23-11,04:00:00,RECOVR,000585367,000290445               
A010,R080,00-00-03,05-24-11,04:00:00,RECOVR,000586279,000290952               
A010,R080,00-00-03,05-25-11,04:00:00,RECOVR,000587300,000291507
A010,R080,00-00-03,05-25-11,08:00:00,AUD,000587316,000291579                   
A010,R080,00-00-03,05-26-11,04:00:00,RECOVR,000588372,000292053
A010,R080,00-00-03,05-26-11,08:00:00,AUD,000588396,000292127
A010,R080,00-00-03,05-27-11,04:00:00,RECOVR,000589529,000292627
A010,R080,00-00-03,05-27-11,08:00:00,AUD,000589546,000292686
A010,R080,00-00-04,05-21-11,04:00:00,RECOVR,001041068,000566294
A010,R080,00-00-04,05-21-11,08:00:00,AUD,001041085,000566326
A010,R080,00-00-04,05-23-11,04:00:00,RECOVR,001042443,000566975               
A010,R080,00-00-04,05-24-11,04:00:00,RECOVR,001043620,000567531               
A010,R080,00-00-04,05-25-11,04:00:00,RECOVR,001044873,000568101
A010,R080,00-00-04,05-25-11,04:00:00,AUD,001044873,000568101
A010,R080,00-00-04,05-26-11,04:00:00,RECOVR,001046153,000568575
A010,R080,00-00-04,05-26-11,08:00:00,AUD,001046169,000568659
A010,R080,00-00-04,05-27-11,04:00:00,RECOVR,001047449,000569152
A010,R080,00-00-04,05-27-11,04:00:00,AUD,001047449,000569152
A010,R080,00-00-05,05-21-11,04:00:00,RECOVR,007975972,003023206
A010,R080,00-00-05,05-21-11,08:00:00,AUD,007975996,003023242
A010,R080,00-00-05,05-23-11,04:00:00,RECOVR,007977983,003023952               
A010,R080,00-00-05,05-24-11,04:00:00,RECOVR,007979594,003024446
A010,R080,00-00-05,05-24-11,04:00:00,AUD,007979594,003024446                   
A010,R080,00-00-05,05-25-11,04:00:00,RECOVR,007981410,003024916
A010,R080,00-00-05,05-25-11,08:00:00,AUD,007981442,003025001                   
A010,R080,00-00-05,05-26-11,04:00:00,RECOVR,007983187,003025442
A010,R080,00-00-05,05-26-11,04:00:00,AUD,007983187,003025442
A010,R080,00-00-05,05-27-11,04:00:00,RECOVR,007985063,003025896
A010,R080,00-00-05,05-27-11,08:00:00,AUD,007985089,003025964
A010,R080,00-00-06,05-21-11,04:00:00,RECOVR,011691188,003444330
A010,R080,00-00-06,05-21-11,08:00:00,AUD,011691241,003444386
A010,R080,00-00-06,05-23-11,04:00:00,RECOVR,011694422,003445346               
A010,R080,00-00-06,05-24-11,04:00:00,RECOVR,011696943,003445913               
A010,R080,00-00-06,05-25-11,04:00:00,RECOVR,011699692,003446477
A010,R080,00-00-06,05-25-11,04:00:00,AUD,011699692,003446477
A010,R080,00-00-06,05-26-11,04:00:00,RECOVR,011702392,003447099
A010,R080,00-00-06,05-26-11,08:00:00,AUD,011702448,003447207
A010,R080,00-00-06,05-27-11,04:00:00,RECOVR,011705215,003447671
A010,R080,00-00-06,05-27-11,08:00:00,AUD,011705269,003447760
A010,R080,00-00-07,05-21-11,04:00:00,RECOVR,018910395,004069724
A010,R080,00-00-07,05-21-11,08:00:00,AUD,018910500,004069804
A010,R080,00-00-07,05-23-11,04:00:00,RECOVR,018916059,004071141               
A010,R080,00-00-07,05-24-11,04:00:00,RECOVR,018920466,004071777
